Retention volume (mL),0.5hr,1.5hr,1hr,2.5hr,5hr,PPS
0.8066667,0.09839514,0.1011991,-0.06853332,0.0356447,-0.3389982,0.07576668
0.81,0.09614919,0.100611,-0.06962743,0.03379161,-0.3401623,0.07650138
0.8133333,0.09490269,0.0992217,-0.07122125,0.0334377,-0.3414257,0.07803717
0.8166667,0.09405674,0.09853434,-0.07311263,0.03338133,-0.3416858,0.08057242
0.82,0.09450778,0.09944534,-0.07470646,0.03402686,-0.3427508,0.08200902
0.8233334,0.09376101,0.09915853,-0.07479729,0.03497376,-0.3439111,0.08334263
0.8266667,0.0933156,0.09886789,-0.07609357,0.03591684,-0.3463723,0.08278035
0.83,0.0941672,0.09938216,-0.0775844,0.03616184,-0.3478378,0.08301532
0.8333334,0.09602205,0.09839344,-0.08047904,0.0353082,-0.3478003,0.08444811
0.8366667,0.09647309,0.09640528,-0.08327068,0.03385565,-0.3460615,0.08668581
0.84,0.09722549,0.09381438,-0.0869626,0.03519927,-0.344624,0.08901887
0.8433334,0.0986798,0.09292866,-0.08855642,0.03564263,-0.3440869,0.09125657
0.8466667,0.09973357,0.09463692,-0.08884944,0.03639117,-0.3446483,0.09299072
0.85,0.09858625,0.09505202,-0.08804382,0.03893642,-0.3441111,0.09342407
0.8533334,0.09603895,0.09656192,-0.08893575,0.03757924,-0.3440737,0.09355986
0.8566667,0.09369,0.0955732,-0.09233011,0.03452452,-0.3424378,0.09359647
0.86,0.09264568,0.09338667,-0.09582366,0.03277061,-0.3386009,0.09433118
0.8633333,0.09279536,0.0906966,-0.09881367,0.03241669,-0.3352638,0.09586697
0.8666667,0.09215159,0.08890679,-0.100808,0.03366114,-0.3308241,0.0978033
0.87,0.09000101,0.08781888,-0.1019021,0.03380695,-0.3287878,0.09873638
0.8733333,0.0881556,0.08732989,-0.102096,0.03395276,-0.3290479,0.09817408
0.8766667,0.08480721,0.08744362,-0.1024882,0.03359884,-0.3279118,0.09690607
0.88,0.08336236,0.08735517,-0.1035823,0.03074249,-0.3261729,0.09604241
0.8833333,0.08271477,0.08656481,-0.1050731,0.02868722,-0.3239382,0.09607903
0.8866667,0.08076636,0.08487801,-0.1070675,0.02783358,-0.3212991,0.09661537
0.89,0.07992041,0.08448819,-0.1082608,0.02747966,-0.3200638,0.09685034
0.8933334,0.07977255,0.08399919,-0.1075543,0.02732411,-0.3192253,0.09668478
0.8966667,0.07972768,0.08331183,-0.1065465,0.02916746,-0.3201873,0.09571813
0.9,0.07887791,0.08352475,-0.1053404,0.03061408,-0.3231482,0.09355366
0.9033334,0.0784325,0.08443575,-0.1041304,0.03145798,-0.3259107,0.0927892
0.9066667,0.07878436,0.08484702,-0.1036261,0.03120325,-0.3283757,0.09242526
0.91,0.07903704,0.08565883,-0.1047164,0.03165042,-0.3286358,0.09415942
0.9133334,0.08029298,0.08566957,-0.1049103,0.0326965,-0.3294986,0.09599657
0.9166667,0.08244538,0.08807974,-0.1049019,0.03413931,-0.3299608,0.09843263
0.92,0.08409806,0.09089427,-0.1020974,0.03748565,-0.3301255,0.09926651
0.9233333,0.08444992,0.09480362,-0.0990907,0.03953118,-0.3312859,0.1005009
0.9266667,0.08350478,0.09721762,-0.09628237,0.0388759,-0.3323509,0.1000378
0.93,0.08245666,0.09852916,-0.09337486,0.03652309,-0.3310126,0.1002728
0.9333333,0.0829077,0.09813935,-0.09147061,0.03526509,-0.3300748,0.1027089
0.9366667,0.08386228,0.09755117,-0.08956254,0.03411009,-0.3276379,0.1057438
0.94,0.08441632,0.0975619,-0.08805502,0.03345863,-0.3234005,0.108878
0.9433333,0.08426846,0.09827454,-0.08574641,0.03400117,-0.3216617,0.1111119
0.9466667,0.08322033,0.09898335,-0.08254135,0.03474588,-0.3211245,0.1123463
0.95,0.08167247,0.0989979,-0.08103383,0.03429279,-0.3201868,0.1139851
0.9533334,0.08192515,0.09870727,-0.08012521,0.03213834,-0.3186501,0.1140179
0.9566667,0.08217783,0.09782155,-0.08052123,0.03058279,-0.3157135,0.1145542
0.96,0.08323159,0.09663065,-0.08191288,0.02952697,-0.312876,0.1151897
0.9633334,0.08458672,0.09474166,-0.08370507,0.02977578,-0.3100386,0.1162258
0.9666667,0.08673912,0.09315404,-0.08459699,0.03131777,-0.3082006,0.1166592
0.97,0.08849097,0.09186777,-0.08599246,0.03316493,-0.3067631,0.1157955
0.9733334,0.08954474,0.09067687,-0.08748329,0.03500829,-0.3073246,0.1140316
0.9766667,0.0898966,0.08799061,-0.0898782,0.03615354,-0.3091868,0.1107647
0.98,0.0914501,0.08610162,-0.09307039,0.03729881,-0.3104502,0.108501
0.9833333,0.09320195,0.08351073,-0.09716284,0.03744462,-0.3114122,0.1074352
0.9866667,0.09595707,0.08092365,-0.103258,0.03818934,-0.312275,0.107571
0.99,0.09851001,0.07913385,-0.1082507,0.03973514,-0.313237,0.1077068
0.9933333,0.1001627,0.07964811,-0.1118435,0.04148312,-0.315,0.1072398
0.9966667,0.1008159,0.08045993,-0.115337,0.04292593,-0.3180639,0.1053767
1,0.09846696,0.08356819,-0.1181287,0.04217147,-0.3205251,0.1031131
1.003333,0.09562211,0.08468138,-0.1211225,0.04131783,-0.3226887,0.1020473
1.006667,0.09367371,0.08449374,-0.1248144,0.0390642,-0.323952,0.101382
1.01,0.09332748,0.08400474,-0.1303068,0.0365092,-0.324113,0.102418
1.013333,0.09237853,0.0852171,-0.1342009,0.03415257,-0.3236749,0.1032519
1.016667,0.09133421,0.08732592,-0.1367942,0.03329893,-0.3245377,0.1041888
1.02,0.08848554,0.090541,-0.1386856,0.03314338,-0.3259994,0.1067241
1.023333,0.0854385,0.09255063,-0.1395813,0.03328919,-0.3271636,0.1078593
1.026667,0.08249065,0.09446108,-0.1405724,0.03393473,-0.328427,0.1082926
1.03,0.08064526,0.09647453,-0.1418649,0.03218082,-0.3294881,0.1080279
